Feature,Mean_SHAP_Value
aadA16,0.00012686717356577763
dfrA27,9.402794859517707e-05
Klebsiella_pneumoniae_KpnE,8.494503992276021e-05
QnrB5,8.287648871143425e-05
EreA2,8.057954991698675e-05
SHV-5,7.935204931749393e-05
OKP-B-6,7.15170591969989e-05
LEN-17,7.111570126630508e-05
rmtC,6.190909380189002e-05
dfrA15,5.8351802981474936e-05
QnrA1,5.725474576364527e-05
TEM-15,5.5596984153997345e-05
OXA-2,5.262435806545359e-05
TEM-104,4.635496109384331e-05
LEN-55,3.920286337754792e-05
QnrB20,3.4682944916223186e-05
CTX-M-3,2.350678383564286e-05
QnrB4,2.230503955902235e-05
TEM-79,1.3131649848104114e-05
CTX-M-98,1.2993771458321687e-05
FosA7,1.0214738583662253e-05
tet(B),8.530242954376965e-06
SHV-60,7.857736583003e-06
FosA3,7.5443917732996005e-06
TEM-206,6.455256480542549e-06
cmlA4,4.881955113435441e-06
AAC(6')-IIc,2.776072050130983e-06
dfrA8,2.0045121356011356e-06
VIM-19,0.0
VIM-27,0.0
aadA13,0.0
rmtB,0.0
dfrB3,0.0
VEB-1,0.0
dfrA7,0.0
dfrA30,0.0
dfrA26,0.0
TEM-158,0.0
tet(G),0.0
tet(W/N/W),0.0
tetM,0.0
dfrA23,0.0
SHV-107,0.0
TEM-12,0.0
DHA-1,0.0
NDM-5,0.0
LEN-9,0.0
LEN-30,0.0
LEN-26,0.0
LEN-2,0.0
LEN-18,0.0
LEN-16,0.0
LEN-10,0.0
Klebsiella_pneumoniae_acrA,0.0
Klebsiella_pneumoniae_KpnF,0.0
KPC-8,0.0
IMP-14,0.0
DHA-6,0.0
CTX-M-9,0.0
SHV-86,0.0
CTX-M-65,0.0
CTX-M-27,0.0
CTX-M-2,0.0
CTX-M-101,0.0
BKC-1,0.0
APH(3')-VIa,0.0
APH(2'')-IIa,0.0
AAC(6')-Im,0.0
AAC(6')-Il,0.0
AAC(6')-IIa,0.0
AAC(6')-33,0.0
AAC(6')-29a,0.0
AAC(3)-Ia,0.0
OKP-A-3,0.0
OKP-A-5,0.0
OKP-A-7,0.0
OKP-B-19,0.0
SHV-77,0.0
SHV-65,0.0
SHV-52,0.0
SHV-44,0.0
SHV-42,0.0
SHV-30,0.0
SHV-26,0.0
SHV-2,0.0
SHV-185,0.0
SHV-161,0.0
SHV-155,0.0
SHV-143,0.0
SHV-142,0.0
SHV-121,0.0
SHV-12,0.0
SHV-119,0.0
SHV-108,0.0
SHV-101,0.0
SHV-100,0.0
SCO-1,0.0
QnrB58,0.0
QnrA7,0.0
OXA-48,0.0
OXA-232,0.0
OKP-B-8,0.0
OKP-B-5,0.0
OKP-B-3,0.0
tetW,0.0
